,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Cryo Crystalfly,Cryo Crystalfly,冰晶蝶,冰晶蝶,Кристальная бабочка Крио,Cryo Crystalfly,Cryo Bathysmal Vishap
Cryo Hypostasis,Cryo Hypostasis,无相之冰,無相之冰,Крио гипостазис,Cryo Hypostasis,Băng Tinh Điệp
Cryo Regisvine,Cryo Regisvine,急冻树,急凍樹,Крио папоротник,Cryo Regisvine,Băng Nguyên Bản
Crystal Chunk,Crystal Chunk,水晶矿,水晶礦,Обломок кристалла,Crystal Chunk,Cây Cấp Đông
Crystal Chunk Drop,Crystal Chunk Drop,水晶矿掉落,水晶礦掉落,Обломок кристалла,Crystal Chunk Drop,Mảnh Pha Lê
Crystal Core,Crystal Core,晶核,晶核,Кристалльное ядро,Crystal Core,Mảnh Pha Lê Bị Rơi
Crystal Marrow,Crystal Marrow,晶化骨髓,晶化骨髓,Кристальный костный мозг,Crystal Marrow,Tinh Hạt Nhân
Crystalfish,Crystalfish,水晶宴,水晶宴,Кристальная рыба,Crystalfish,Tủy Pha Lê
Cube Devices,Cube Devices,解谜魔方,解謎魔方,Механические кубы,Cube Devices,Cá Pha Lê
Cuihua Wood,Cuihua Wood,萃华木,萃華木,Цуйхуа,Cuihua Wood,Khối lập phương
CurExp,CurExp,当前经验值,當前經驗值,Текущий опыт,CurExp,Gỗ Tụy Hoa
Current select: %s,Current select: %s,当前选择: %s,當前選擇: %s," Выбрано: %s",Sedang dipilih: %s,CurExp
Current teleport file map: %s(ID=%d),Current teleport file map: %s(ID=%d),当前传送文件地图：%s(ID=%d),當前傳送檔案地圖：%s(ID=%d),Current teleport file map: %s(ID=%d),File map teleportasi saat ini: %s(ID=%d),Lựa chọn hiện tại: %s
Current teleport file: %s,Current teleport file: %s,当前传送文件: %s,當前傳送檔案: %s,Current teleport file: %s,File teleport terpilih: %s,Bản đồ tệp dịch chuyển hiện tại: %s(ID=%d)
Custom Challenge,Custom Challenge,自定义挑战,自定義挑戰,Ручной ввод испытаний на время,Kustomisasi Tantangan,Tệp dịch chuyển: %s
Custom Combine,Custom Combine,自定义合成,自定義合成,Custom Combine,Kostumisasi Gabungan,khiêu chiến tùy chỉnh
Custom Constellation Level,Custom Constellation Level,自定义命座数,自定義命座數,Кастомизация уровня созвездия,Kustomisasi Level Konstelasi,Kết hợp tùy chỉnh
Custom Element,Custom Element,自定义元素,自定義元素,Кастомизация элемента,Kustomisasi Elemen,Cấp độ cung mệnh tùy chỉnh
Custom MonsterId,Custom MonsterId,自定义怪物ID,自定义怪物ID,Ручной ввод MonsterId,MonsterId Kustom,Thông số tùy chỉnh
Custom Pickup Range,Custom Pickup Range,范围拾取,範圍拾取,Дальность подбора,Jarak Ambil Kustom,Quái tuỳ chỉnh
Custom Private Key,Custom Private Key,自定义私钥,自定義私鑰,Ручной ввод Private Key,Kunci Privat Kustom,Phạm vị nhặt tuỳ chỉnh
Custom Profile,Custom Profile,自定义资料卡,自定義資料卡,Кастомизация профиля,Kustomisasi Profil,Khóa riêng tùy chỉnh
Custom Public Key,Custom Public Key,自定义公钥,自定義公鑰,Ручной ввод Public Key,Kunci Publik Kustom,Hồ sơ tùy chỉnh
Custom Teleport,Custom Teleport,自定义传送,自定義傳送,Кастомизация телепортов,Kustomisasi Teleport,Khóa công khai tùy chỉnh
Custom Teleport 2.0,Custom Teleport Pro,自定义传送 Pro,自定義傳送 Pro,Custom Teleport Pro,Kustomisasi Teleport 2.0,Dịch chuyển tuỳ chỉnh
Custom Weather,Custom Weather,自定义天气,自定義天氣,Кастомизация погоды,Kustomisasi Cuaca,Dịch chuyển 2.0 tuỳ chỉnh
Custom camera field of view.,Custom camera field of view.,自定义视场大小,自定視場廣度,Кастомизация угла обзора,Ubah field-of-view kamera.,Thời tiết tùy chỉnh
CustomElement,CustomElement,自定义元素,自定義元素,Кастомизация элемента,CustomElement,Tuỳ chỉnh góc nhìn camera field
CustomTeleport,CustomTeleport,自定义传送,自定義傳送,Кастомизированныетелепорты,CustomTeleport,Thông số tùy chỉnh
CustomTeleport2.0,CustomTeleportPro,自定义传送Pro,自定義傳送Pro,CustomTeleportPro,CustomTeleport2.0,Dịch chuyển tùy chỉnh
CustomTeleports,CustomTeleports,自定义传送,自定義傳送,Кастомизированные телепорты,CustomTeleports,Dịch chuyển 2.0 tuỳ chỉnh
CustomWeather,CustomWeather,自定义天气,自定義天氣,Кастомизация погоды,CustomWeather,Dịch chuyển khác tùy chỉnh
Cyno,Cyno,赛诺,賽諾,Сайно,Cyno,Thời tiết tùy chỉnh
Daily Commission,Daily Commission,每日委托,每日委託,Daily Commission,Daily Commission,Cyno
Damage Value,Damage Value,伤害数值,傷害數值,Сумма урона,Nilai Serangan,Ủy Thác Hàng Ngày
Damage mode,Damage mode,伤害模式,傷害模式,Тип урона,Mode serangan,Giá trị thiệt hại
Dandelion Seed,Dandelion Seed,蒲公英种子,蒲公英種子,Семена одуванчика,Dandelion Seed,Chế độ thiệt hại
"Dandelion Seeds, Sakura Bloom, etc.","Dandelion Seeds, Sakura Bloom, etc.",蒲公英种子、绯樱绣球等。,蒲公英種子、緋櫻繡球等。,"Семена одуванчика, Цвет сакуры, и т.д.","Dandelion Seed, Sakura Bloom, dll.",Hạt bồ công anh
Dandy,Dandy,丹迪,丹迪,Дэнди,Dandy,"Hạt bồ công anh, Tú Cầu Anh Đào, v.v."
Dark Iron Sword,Dark Iron Sword,暗铁剑,暗鐵劍,Тёмный железный меч,Dark Iron Sword,Dandy
Dawncatcher,Dawncatcher,擒霞客,擒霞客,Ловец зари,Dawncatcher,Kiếm Sắt Đen
Day Night Switching Mechanism,Day Night Switching Mechanism,昼夜切换机制,晝夜切換機制,Переключатель Белой и Вечной ночи,Day Night Switching Mechanism,Bình minh
Deathmatch,Deathmatch,决斗之枪,決鬥之槍,Смертельный бой,Deathmatch,Cơ chế chuyển đổi ngày đêm
Deattach,Deattach,解除附加,解除連結,Отвязать,Lepas,Tử chiến
Debate Club,Debate Club,以理服人,以理服人,Дубина переговоров,Debate Club,Tháo rời
Debug,Debug,调试,調試,Отладка,Debug,Gậy Thu Phục
Debug Animations,Debug Animations,调试动画,調試動畫,Отладка анимаций,Animasi Debug,Gỡ lỗi
Decrease FOV,Decrease FOV,减少FOV,減少FOV,Уменьшить поле зрения,Kurangi FOV,Gỡ lỗi ảnh động
Deep Sea Unagi,Deep Sea Unagi,深海鳗鳗,深海鰻鰻,Глубоководный угорь,Deep Sea Unagi,Giảm FOV
Default Targets,Default Targets,默认目标,默認目標,Default Targets,Target Default,Cá Chình Biển Sâu
Dehya,Dehya,迪希雅,迪希雅,Дэхья,Dehya,Mục tiêu mặc định
Del,Del,删除,刪除,Del,Del,Dehya
Delay,Delay,延迟,延遲,Задержка,Delay,Del
Delay (in ms) between loot vacuum.,Delay (in ms) between loot vacuum.,每一次吸附的延迟(单位：毫秒).,每一次吸附的延遲(單位：毫秒).,Задержка (в мс) между притягиванием вещей.,Delay (dalam ms) antara vakum pungut.,Độ trễ
"Delay (in ms) between loot/open actions.
Values under 200ms are unsafe.
Not used if no auto-functions are on.","Delay (in ms) between loot/open actions.
Values under 200ms are unsafe.
Not used if no auto-functions are on.","每一次拾取/开箱动作之间的延迟(单位：毫秒)。
低于200ms的数值是危险的。
如果未打开自动类功能则无效。","每一次拾取/開箱動作之間的延遲(單位：毫秒)。
低於200ms的數值是危險的。
如果未打開自動類功能則無效。","Задержка между сбором и открытием.
Значения менее 200мс могут быть небезопасными.
Данная функция не используется, если не включены никакие авто-функции.","Delay (dalam ms) antara aksi pungut/buka.
Nilai dibawah 200ms tidak aman.
Tidak digunakan jika tidak ada fitur otomatis yang aktif.",Độ trễ (tính bằng mili giây) giữa loot chân không.
"Delay (in s) between teleport.
Note: This is not fully tested detection-wise.
Not recommended with low values.","Delay (in s) between teleport.
Note: This is not fully tested detection-wise.
Not recommended with low values.","传送之间的延迟(单位：秒)。
注意：这功能未经过充足的测试。
　　　不建议在主账号上使用低数值。","傳送之間的延遲(單位：秒)。
注意：這功能未經過充足的測試。
　　　不建議在主帳號上使用低數值。","Задержка (в сек) между телепортацией.
Примечание: Это не полностью протестировано на обнаружение анти-читом.
Не рекомендуется использовать с низкими значениями.","Delay (dalam s) pada tiap teleportasi.
Catatan: Belum dilakukan testing deteksi.
Tidak direkomendasikan menggunakan nilai yang rendah.","Độ trễ (tính bằng mili giây) giữa các hành động loot/mở.
Các giá trị dưới 200 mili giây là không an toàn.
Không được sử dụng nếu không có chức năng tự động nào được bật."
Delay Time (ms),Delay Time (ms),延迟时间(毫秒),延遲時間(毫秒),Время задержки (в мс),Delay Waktu (ms),"Độ trễ (tính bằng s) giữa các lần dịch chuyển.
Lưu ý: Điều này không được kiểm tra đầy đủ về mặt phát hiện.
Không nên dùng với giá trị thấp."
Delay Time (s),Delay Time (s),延迟时间(秒),延遲時間(秒),Время задержки (в сек),Delay Waktu (s),Thời gian trễ (ms)
Delay before attacking the next tree (in ms).,Delay before attacking the next tree (in ms).,攻击下一颗树前的时间间隔(单位:毫秒),攻擊下一顆樹前的時間間隔(單位:毫秒),Задержка перед атакой следующего дерева (в мс).,Delay sebelum menyerang pohon selanjutnya (dalam ms).,Thời gian trễ (giây)
"Delay before attacking the same tree (in ms).
Values <500ms will not work.","Delay before attacking the same tree (in ms).
Values <500ms will not work.","攻击同一颗树前的时间间隔(单位：毫秒)。
数值小于 500毫秒 将不生效。","攻擊同一顆樹前的時間間隔(單位：毫秒)。
數值小於 500毫秒 將不生效。","Задержка перед атакой того же дерева (в мс).
Значения меньше 500мс не работают.","Delay sebelum menyerang pohon yang sama (dalam ms).
Nilai <500ms tidak bekerja.",Độ trễ trước khi tấn công cây tiếp theo (tính bằng ms).
Delay in milliseconds between notifications.,Delay in milliseconds between notifications.,通知之间的延迟(单位：毫秒),通知之間的延遲(單位：毫秒),Задержка в миллисекундах между уведомлениями.,Delay dalam milisecond pada notifikasi.,"Trì hoãn trước khi tấn công cùng một cây (tính bằng ms).
Các giá trị <500ms sẽ không hoạt động."
Delay in ms before applying aura to a new target.,Delay in ms before applying aura to a new target.,在将光环应用到新目标之前延迟(毫秒),在將光環應用到新目標之前延遲（毫秒）,Задержка в миллисекундах прежде чем аура ударит новую цель.,Delay dalam ms sebelum menerapkan aura ke target baru.,Độ trễ tính bằng mili giây giữa các thông báo.
Delay in ms before applying aura to the same target.,Delay in ms before applying aura to the same target.,在将光环应用到同一目标之前以毫秒为单位的延迟,在將光環應用到新目標之前延遲（毫秒）,Задержка в миллисекундах прежде чем аура ударит ту же цель.,Delay dalam ms sebelum menerapkan aura ke target yang sama.,Độ trễ tính bằng mili giây trước khi áp dụng hào quang cho mục tiêu mới.
Delay in ms before crash damaging same monster.,Delay in ms before crash damaging same monster.,对同一个怪物造成伤害的延迟,對同一個怪物造成傷害的延遲,Задержка в мс атаки уроном в падении одного и того же монстра.,Delay dalam ms sebelum melakukan crash pada monster yang sama.,Độ trễ tính bằng mili giây trước khi áp dụng hào quang cho cùng một mục tiêu.
Delay in ms before next crash damage.,Delay in ms before next crash damage.,对下一个怪物造成伤害的延迟,對下一個怪物造成傷害的延遲,Задержка в мс до следующей атаки уроном в падении.,Delay dalam ms sebelum crash selanjutnya.,Độ trễ tính bằng mili giây trước khi va chạm gây sát thương cho cùng một quái vật.
Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',拾取延迟将在 拾取延迟 和 拾取延迟+延迟范围 之间随机。,拾取延遲將在 拾取延遲 和 拾取延遲+延遲範圍 之間隨機。,Задержка случайно колебается между указанными 'Время задержки' и 'Диапазон задержки'.,Delay secara acak berubah berdasarkan 'Delay Waktu'+'Delay Waktu+jarak',Độ trễ tính bằng mili giây trước khi có thiệt hại do va chạm tiếp theo.
Delay range +(ms),Delay range +(ms),延迟范围+(毫秒),延遲範圍+(毫秒),Диапазон задержки +(мс),Delay jarak +(ms),Độ trễ dao động ngẫu nhiên giữa 'Thời gian trễ'+'Thời gian trễ+phạm vi'
Delay to repeat animation,Delay to repeat animation,重复动画延迟,重覆動畫延遲,Задержка перед повтором анимации,Delay dalam mengulang animasi,Khoảng trễ +(ms)
"Delayed to move to next element. (Most of skills are valid for multi target, so if you want apply same element type for targets, you should turn it on)","Delayed to move to next element. (Most of skills are valid for multi target, so if you want apply same element type for targets, you should turn it on)",延迟一定的时间来切换到下一个元素（大部分的技能都可以作用于多个对象，如果你需要让所有怪在一定的时间内都按照列表的顺序造成元素反应，则需要打开它）,延遲一定的時間來切換到下一個元素（大部分的技能都可以作用於多個對象，如果你需要讓所有怪在一定的時間內都按照列表的順序造成元素反應，則需要打開它）,"Задержка перед переходом на другой элемент (Большинство навыков работают с мульти-целями, поэтому если вы хотите один и тот же элемент для нескольких целей, включите эту функцию).","Delay saat berganti ke elemen selanjutnya. (Hampir semua skill dapat bekerja pada multi target, jadi jika ingin menerapkan elemen yang sama pada setiap target, aktifkan ini)",Trì hoãn để lặp lại hình ảnh động
DelayedMoveToNextElement,Delayed move to next element,延迟切换元素,延遲切換元素,Задержка перед следующим элементом,DelayedMoveToNextElement,"Trì hoãn để di chuyển đến yếu tố tiếp theo. (Hầu hết các kỹ năng đều có hiệu lực với nhiều mục tiêu, vì vậy nếu bạn muốn áp dụng cùng một loại phần tử cho các mục tiêu, bạn nên bật nó lên)"
Delete,Delete,删除,刪除,Удалить,Hapus,Di chuyển đến phần tử tiếp theo bị trì hoãn
Delete Checked,Delete Checked,删除选中,刪除選中,Удалить отмеченное,Hapus yang Diseleksi,Xoá
Delete Theme,Delete Theme,删除主题,刪除主題,Удалить тему,Hapus Tema,Xoá đánh dấu (Dấu tích)
Delete file,Delete file,删除文件,刪除檔案,Delete file,Hapus file,Xóa chủ đề
Delete selected file,Delete selected file,删除选定的文件,刪除選定的檔案,Delete selected file,Hapus file terpilih,Xoá tệp
Delete selected nodes,Delete selected nodes,删除选定位置坐标,刪除選定位置坐標,Delete selected nodes,Hapus node terpilih,Xóa tệp đã chọn
Delicious,Delicious,美味的,美味的,Вкусный,Delicious,Xóa các nút đã chọn
Dendro,Dendro,草,草,Дендро,Dendro,Rất Ngon
Dendro Crystalfly,Dendro Crystalfly,草晶蝶,草晶蝶,Кристальная бабочка Дендро,Dendro Crystalfly,Thảo
Dendro Granum,Dendro Granum,草种子,祥草楊枝,Дендрогранум,Dendro Granum,Thảo Tinh Điệp
Dendro Hypostasis,Dendro Hypostasis,无相之草,無相之草,Дендро гипостазис,Dendro Hypostasis,Hạt Giống Thảo	
Dendro Pile,Dendro Pile,三相众物,三相眾物,Камень с меткой,Dendro Pile,Thảo Nguyên Bản
Dendro Rock,Dendro Rock,草石块,草石塊,Камень с корнями,Dendro Rock,Trụ thảo
DendroSamachurl,DendroSamachurl,草丘丘萨满,草丘丘薩滿,Дендро шамачурл,DendroSamachurl,Đá thảo
Dendrobium,Dendrobium,血斛,血斛,Кровоцвет,Dendrobium,Phù Thủy Hilichurl Thảo
Dendroculus,Dendroculus,草神瞳,草神瞳,Дендрокул,Dendroculus,Hoa Lan Máu
Dendrogranum,Dendrogranum,草种子,草種子,Дендрогранум,Dendrogranum,Thảo Thần Đồng
Descend HotKey,Descend HotKey,降低热键,降低熱鍵,Горячая клавиша для спуска,HotKey Turun,Hạt Giống Thảo	
Descension,Descension,降临之翼,降臨之翼,Спускаться,Turun,Xuống phím tắt
Description,Description,描述,描述,Описание,Deskripsi,Giáng Thế
Deselect All,Deselect All,全部取消选择,全部取消選擇,Отменить все выделения,Batalkan Semua Pilihan,Giáng Thế
Desert Fox,Desert Fox,沙狐,沙狐,Пустынный лис,Desert Fox,Bỏ chọn tất cả
Destroy,Destroy,摧毁,摧毀,Разрушать,Hancurkan,Cáo Sa Mạc
"Destroy Ancient Rime, Large and Small Rock Piles","Destroy Ancient Rime, Large and Small Rock Piles",摧毁 雪山大冰块、大小石堆。,摧毀 雪山大冰塊、大小石堆。,Разрушать Доисторический лёд и кучи камней,"Hancurkan Ancient Rime, Large dan Small Rock Pile",Phá huỷ
Destroy Bomb,Destroy Bomb,引爆炸药桶,摧毀炸藥桶,Разрушать взрывные бочки,Hancurkan Bom,Phá hủy khối băng viễn cổ đống đá lớn và nhỏ
"Destroy Chests with Brambles, Frozen, or In Rocks","Destroy Chests with Brambles, Frozen, or In Rocks",摧毁 宝箱上的荆棘、冰块、石头。,摧毀 寶箱上的荊棘、冰塊、石頭。,"Убирать лёд, корни и камни с сундуков","Hancurkan Chest berakar, Beku, atau dalam Batu",Phá huỷ bom
Destroy Spec Chests,Destroy Spec Chests,摧毁特殊宝箱,摧毀特殊寶箱,Разрушать специальные сундуки,Hancurkan Spec Chest,"Phá hủy Rương bị trói buộc, đóng băng, rương đá"
Destroy Specs,Destroy Specs,摧毁特殊宝箱,摧毀特殊寶箱,Разрушать специальные объекты,Hancukan Spec,Phá huỷ rương Spec
Destroy doodads,Destroy doodads,摧毁杂物,摧毀雜物,Разрушать опциональные объекты,Hancurkan doodad,Phá huỷ Spec
Destroy ores,Destroy ores,摧毁矿石,摧毀礦石,Разрушать руду,Hancurkan ore,Phá hủy các cuộc thảo luận
Destroy plants,Destroy plants,摧毁植物,摧毀植物,Разрушать растения,Hancurkan tumbuhan,Phá hủy quặng
Destroy shields,Destroy shields,摧毁护盾,摧毀護盾,Разрушать щиты,Hancurkan perisai,
Detect delay (ms),Detect delay (ms),检测延迟(ms),檢測延遲(ms),Задержка обнаружения (мс),Delay deteksi (ms),
Detect gathered items,Detect gathered items,检测收集到的物品,檢測收集到的物品,Обнаруживать собранные точки,Deteksi item yang diambil,
Detect new items,Detect new items,检测新物品,檢測新物品,Обнаруживать новые точки,Deteksi item baru,
Detect objects only for showed filters.,Detect objects only for showed filters.,仅为显示的过滤器检测.,僅為顯示的過濾器檢測.,Обнаруживать только точки из выбранных точек в фильтрах.,Hanya lakukan deteksi pada objek yang difilter.,
Detect only showed,Detect only showed,仅检测显示的物品,僅檢測顯示的物品,Обнаруживать только показанные точки,Hanya deteksi yang tampil,
Detect range,Detect range,检测范围,檢測範圍,Радиус обнаружения,Jarak deteksi,
Detection Radius(m),Detection Radius(m),检测半径(米),檢測半徑(米),Detection Radius(m),Radius Deteksi(m),
"Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","AFK 攻击的检测半径。
我们建议检测半径不要超过杀戮光环的范围，
否则可能会出现无法瞬移的问题。","AFK 攻擊的檢測半徑。
我們建議檢測半徑不要超過殺戮光環的範圍，
否則可能會出現無法瞬移的問題。","Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","Radius deteksi untuk Serangan AFK.
Kami merekomendasikan bahwa radius deteksi tidak boleh melebihi jangkauan Aura Membunuh,
jika tidak, mungkin ada masalah ketidakmampuan untuk berteleportasi.",
"Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","开发：为了满足工作需要，为具有指定名称的命名管道提供服务器。
检查 数据包处理程序 项目，例如示例。","開發：為了滿足工作需要，為具有指定名稱的命名管道提供伺服器。
檢查 封包處理程式 項目，如範例。","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","Dev: untuk bekerja dibutuhkan server dengan pipe yang diberi nama ini.
Cek proyek 'packet-handler' sebagai contoh.",
Dialog,Dialog,对话框,對話框,Диалог,Dialog,
Diluc,Diluc,迪卢克,迪盧克,Дилюк,Diluc,
Diluc_RedDeadOfNight,Diluc: Red Dead of Night,迪卢克：殷红终夜,迪盧克：殷紅終夜,Дилюк: Алая ночь,Diluc_RedDeadOfNight,
Diona,Diona,迪奥娜,迪奧娜,Диона,Diona,
Disable Protection,Disable Protection,关闭反作弊,關閉反作弊,Отключить Защиту,Matikan Proteksi,
"Disable cooldown of bow charge.
Known issues with Fischl.","Disable cooldown of bow charge.
Known issues with Fischl.","删除弓箭蓄力所需要的时间。
目前 菲谢尔 存在bug。","刪除弓箭蓄力所需要的時間。
目前 菲謝爾 存在bug。","Убрать задержку заряженной атаки стрелкового оружия.
Есть проблемы с этой функцией у Фишль.","Menghilangkan cooldown pada charge bow.
Karakter Fischl memiliki isu.",
Disabled,Disabled,关闭,關閉,Отключённое,Nonaktif,
Disables player animations.,Disables player animations.,关闭玩家动画。允许空中释放技能,關閉玩家動畫,Отключает анимацию персонажа.,Bekukan animasi pemain.,
Discord invite link,Discord invite link,Discord邀请链接,Discord邀請連結,Ссылка-приглашение на Discord,Link undangan discord,
Display Name,Display Name,显示的名称,顯示的名稱,Отображающеся название,Nama Tampilan,
Distance (m),Distance (m),距离(米),距離(米),Дистанция (в м),Jarak (m),
"Distance between the player and the loot.
Values under 1.5 may be too intruding.","Distance between the player and the loot.
Values under 1.5 may be too intruding.","玩家与物品间的距离。
范围低于 1.5m 也许会有所影响。","玩家與物品間的距離。
範圍低於 1.5m 也許會有所影響。","Дистанция притягивания между игроком и предметом.
Значения ниже 1.5 может быть навязчивым для игрока.","Jarak antara pemain dan item drop.
Nilai dibawah 1.5 dapat mengganggu game.",
Distance between the player and the monster.,Distance between the player and the monster.,怪物与玩家间的距离,怪物與玩家間的距離,Дистанция притягивания между персонажем и монстром.,Jarak antara pemain dan monster.,
Divda Ray,Divda Ray,迪芙妲鳐,迪芙妲鰩,Дивдинский скат,Divda Ray,
"Do fix positions to nearest to point.
Only items with green line support this function.","Do fix positions to nearest to point.
Only items with green line support this function.","将位置固定到离点最近的位置。
只有带绿线的项目支持此功能。","將位置固定到離點最近的位置。
只有帶綠線的項目支持此功能。","Оставляет фиксированное положение точек.
Только предметы с зелёной линией возле названия поддерживают эту функцию.","Mengubah posisi ke poin terdekat.
Hanya item dengan garis hijau yang mendukung fitur ini.",
Dodoco Tales,Dodoco Tales,嘟嘟可故事集,嘟嘟可故事集,Истории Додоко,Dodoco Tales,
Dog,Dog,狗,狗,Собака,Dog,
Domain,Domain,秘境,秘境,Подземелья,Domain,
"Don't change animals such as dog, cat, pigeon and etc.","Don't change animals such as dog, cat, pigeon and etc.",不要替换动物，例如狗、猫、鸽子等,不要替換動物，例如狗，貓，鴿子等。,"Не заменять дружелюбных животных (собак, котов, голубей, и т.д.)","Jangan ubah hewan seperti anjing, kucing, merpati dll.",
Don't remove collisions,Don't remove collisions,不要移除碰撞体,不要移除碰撞體,Не убирать столкновения,Jangan hapus collision,
Doodads,Doodads,杂物,雜物,Опциональное,Doodad,
Dori,Dori,多莉,多莉,Дори,Dori,
Down,Down,下,下,Вниз,Bawah,
DragBackBypass,DragBackBypass,防拉回,防拉回,Запретить телепортацию назад сервером,"Anti-Tarik Kembali  ",
Dragon's Bane,Dragon's Bane,匣里灭辰,匣里滅辰,Гроза драконов,Dragon's Bane,
Dragonspine Spear,Dragonspine Spear,龙脊长枪,龍脊長槍,Копьё Драконьего хребта,Dragonspine Spear,
Draw Distance,Draw Distance,显示距离,顯示距離,Отображать расстояние,Tampilkan Jarak,
Draw Health,Draw Health,显示生命值,顯示生命值,Отображать здоровье,Tampilkan HP,
Draw Mode,Draw Mode,绘制模式,繪制模式,Режим отображения,Tampilkan Mode,
Draw Name,Draw Name,显示名称,顯示名稱,Отображать имя,Tampilkan Nama,
Draw distance of object.,Draw distance of object.,显示与物体的距离,顯示與物體的距離,Отображать расстояние до объекта.,Tampilkan jarak terhadap objek.,
Draw health of object.,Draw health of object.,显示物体的生命值,顯示物體的生命值,Отображать здоровье объекта.,Tampilkan HP objek.,
Draw name of object.,Draw name of object.,显示物体的名字,顯示物體的名字,Отображать имя объекта.,Tampilkan nama objek.,
Draw tracer from middle part of the screen.,Draw tracer from middle part of the screen.,从屏幕的中间部分开始绘制追踪线,從螢幕的中間部分開始繪制追蹤線,Отображать линии от цетра экрана.,Tampilkan garis tracker dimulai dari tengah layar.,
Dress,Dress,穿着,穿著,Одежда,Gaun,
"Dress Texture.
Example path: C:\Dress.png","Dress Texture.
Example path: C:\Dress.png","穿着纹理。
示例路径：C:\Dress.png","穿著材質。
範例路徑：C:\Dress.png","Текстура одежды.
Пример пути к файлу: C:\Dress.png","Tekstur Gaun.
Contoh lokasi: C:\Gaun.png",
Drop Items,Drop Items,掉落道具,掉落道具,Упавшие предметы,Item Drop,
Drop progress,Drop progress,清理所有进度,清理所有進度,Прогресс упавших предметов,Hapus progres,
Droppers,Droppers,掉落型,掉落型,Пипетка,Droppers,
Dull Blade,Dull Blade,无锋剑,無鋒劍,Тупой меч,Dull Blade,
Dumb Enemies,Dumb Enemies,敌人变傻,敵人變傻,Отключить ИИ агрессивным мобам,Musuh Tolol,
DumbEnemies,DumbEnemies,敌人变傻,敵人變傻,Отключить ИИ агрессивным мобам,DumbEnemies,
Dump translates,Dump translates,dump翻译文件,dump翻譯文件,Экспорт языкового файла,Dump translasi,
Dungeon ID,Dungeon ID,秘境 ID,祕境 ID,Dungeon ID,ID Dungeon,
Dunlins Tooth,Strange Tooth,龙牙,龍牙,Необычный клык,Dunlins Tooth,
Dupe,Dupe,复制,複製,Dupe,Duplikat,
Duplicate Profile,Duplicate Profile,复制配置文件,覆制配置文件,Клонировать профиль,Duplikat Profil,
Dusk Bird,Dusk Bird,暝彩鸟,暝彩鳥,Сумеречная птица,Dusk Bird,
Dvalin,Dvalin,风魔龙,風魔龍,Двалин,Dvalin,
Dynamic size,Dynamic size,动态大小,動態大小,Динамический размер,Ukuran dinamis,
ESP,ESP,透视,透視,ESP,ESP,
ESP Enabled,ESP Enabled,启动透视,啟動透視,ESP включён,ESP Aktif,
EastCoast,EastCoast,东海岸,东海岸,EastCoast,Tropis,
Eel,Eel,鳗鳗,鰻鰻,Угорь,Eel,
Eight Stone Tablets,Eight Stone Tablets,八块石板,八塊石板,Каменные плиты,Eight Stone Tablets,
Electric,Electric,雷,雷,Electric,Electric,
Electric Conduction,Electric Conduction,电气传导,電氣傳導,Релейный камень,Electric Conduction,
Electro,Electro,雷,雷,Электро,Electro,
Electro Abyss Lector,Electro Abyss Lector,深渊咏者·紫电,深淵詠者·紫電,Чтец Бездны: Пурпурная молния,Electro Abyss Lector,
Electro Bathysmal Vishap,Electro Bathysmal Vishap,深海龙蜥·吞雷,深海龍蜥·吞雷,Электро Вишап глубин,Electro Bathysmal Vishap,
Electro Crystal,Electro Crystal,电气水晶,電氣水晶,Электро кристалл,Electro Crystal,
Electro Crystal Drop,Electro Crystal Drop,电气水晶掉落,電氣水晶掉落,Электро кристалл,Electro Crystal Drop,
Electro Crystalfly,Electro Crystalfly,雷晶蝶,雷晶蝶,Кристальная бабочка Электро,Electro Crystalfly,
Electro Hypostasis,Electro Hypostasis,无相之雷,無相之雷,Электро гипостазис,Electro Hypostasis,
Electro Regisvine,Electro Regisvine,掣电树,掣電樹,Электро папоротник,Electro Regisvine,
Electro Seelie,Electro Seelie,雷灵,雷靈,Электро фея,Electro Seelie,
Electroculus,Electroculus,雷神瞳,雷神瞳,Электрокул,Electroculus,
Electrogranum,Electrogranum,雷种子,雷種子,Электрогранум,Electrogranum,
Elegy for the End,Elegy for the End,终末嗟叹之诗,終末嗟嘆之詩,Элегия погибели,Elegy for the End,
Element Durability,Durability,元素耐久性,元素耐久性,Выдержка элемента,Durabilitas,
Element Type,Element Type,元素类型,元素類型,Тип элемента,Tipe Elemen,
ElementType,ElementType,元素类型,元素類型,Тип элемента,ElementType,
Elemental Aura,Elemental Aura,元素光环,元素光環,Элементная аура,Aura Elemen,
