,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
"Delayed to move to next element. (Most of skills are valid for multi target, so if you want apply same element type for targets, you should turn it on)","Delayed to move to next element. (Most of skills are valid for multi target, so if you want apply same element type for targets, you should turn it on)",延迟一定的时间来切换到下一个元素（大部分的技能都可以作用于多个对象，如果你需要让所有怪在一定的时间内都按照列表的顺序造成元素反应，则需要打开它）,延遲一定的時間來切換到下一個元素（大部分的技能都可以作用於多個對象，如果你需要讓所有怪在一定的時間內都按照列表的順序造成元素反應，則需要打開它）,"Задержка перед переходом на другой элемент (Большинство навыков работают с мульти-целями, поэтому если вы хотите один и тот же элемент для нескольких целей, включите эту функцию).","Delay saat berganti ke elemen selanjutnya. (Hampir semua skill dapat bekerja pada multi target, jadi jika ingin menerapkan elemen yang sama pada setiap target, aktifkan ini)","Trì hoãn để di chuyển đến yếu tố tiếp theo. (Hầu hết các kỹ năng đều có hiệu lực với nhiều mục tiêu, vì vậy nếu bạn muốn áp dụng cùng một loại phần tử cho các mục tiêu, bạn nên bật nó lên)"
Delay before attacking the next tree (in ms).,Delay before attacking the next tree (in ms).,攻击下一颗树前的时间间隔(单位:毫秒),攻擊下一顆樹前的時間間隔(單位:毫秒),Задержка перед атакой следующего дерева (в мс).,Delay sebelum menyerang pohon selanjutnya (dalam ms).,Độ trễ trước khi tấn công cây tiếp theo (tính bằng ms).
"Delay before attacking the same tree (in ms).
Values <500ms will not work.","Delay before attacking the same tree (in ms).
Values <500ms will not work.","攻击同一颗树前的时间间隔(单位：毫秒)。
数值小于 500毫秒 将不生效。","攻擊同一顆樹前的時間間隔(單位：毫秒)。
數值小於 500毫秒 將不生效。","Задержка перед атакой того же дерева (в мс).
Значения меньше 500мс не работают.","Delay sebelum menyerang pohon yang sama (dalam ms).
Nilai <500ms tidak bekerja.","Trì hoãn trước khi tấn công cùng một cây (tính bằng ms).
Các giá trị <500ms sẽ không hoạt động."
Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',拾取延迟将在 拾取延迟 和 拾取延迟+延迟范围 之间随机。,拾取延遲將在 拾取延遲 和 拾取延遲+延遲範圍 之間隨機。,Задержка случайно колебается между указанными 'Время задержки' и 'Диапазон задержки'.,Delay secara acak berubah berdasarkan 'Delay Waktu'+'Delay Waktu+jarak',Độ trễ dao động ngẫu nhiên giữa 'Thời gian trễ'+'Thời gian trễ+phạm vi'
Attack Delay (ms),Attack Delay (ms),攻击间隔(毫秒),攻擊間隔(毫秒),Задержка перед атакой (в мс),Delay Serangan (ms),Độ trễ tấn công (ms)
Crash Attack Delay (ms),Crash Attack Delay (ms),伤害间隔延迟(毫秒),傷害間隔延遲(毫秒),Задержка удара в падении (в мс),Delay Serangan Crash (ms),Chế độ thiệt hại sự cố
Catch Delay (ms),Catch Delay (ms),拉竿延迟(毫秒),拉竿延遲(毫秒),Задержка поимки (в мс),Delay Tangkapan (ms),Hang
"Teleport delay for the AFK Attack.
We recommend it to be longer than 5 sec.","Teleport delay for the AFK Attack.
We recommend it to be longer than 5 sec.","AFK 攻击的传送延迟。
我们推荐设置5秒以上。","AFK 攻擊的傳送延遲。
我們推薦設置5秒以上。","Teleport delay for the AFK Attack.
We recommend it to be longer than 5 sec.","Delay teleportasi untuk Serangan AFK.
Direkomendasikan menggunakan delay diatas 5 detik.",Delay Dịch chuyển cho AFK Attack. Chúng tôi khuyến nghị không nên để quá 5s.
Teleport Delay(ms),Teleport Delay(ms),传送延迟(毫秒),傳送延遲(毫秒),Teleport Delay(ms),Delay Teleportasi(ms),Dịch chuyển Delay(ms)
Delay Time (ms),Delay Time (ms),延迟时间(毫秒),延遲時間(毫秒),Время задержки (в мс),Delay Waktu (ms),Thời gian trễ (ms)
Delay Time (s),Delay Time (s),延迟时间(秒),延遲時間(秒),Время задержки (в сек),Delay Waktu (s),Thời gian trễ (giây)
Auto teleport delay (sec),Auto teleport delay (sec),自动传送延迟(秒),自動傳送延遲(秒),Задержка авто-телепора (в сек),Delay/Jeda teleportasi otomatis (detik),Độ trễ tự động dịch chuyển (giây)
DelayedMoveToNextElement,Delayed move to next element,延迟切换元素,延遲切換元素,Задержка перед следующим элементом,DelayedMoveToNextElement,Di chuyển đến phần tử tiếp theo bị trì hoãn
Delicious,Delicious,美味的,美味的,Вкусный,Delicious,Rất Ngon
Dendro,Dendro,草,草,Дендро,Dendro,Thảo
Dendro Crystalfly,Dendro Crystalfly,草晶蝶,草晶蝶,Кристальная бабочка Дендро,Dendro Crystalfly,Thảo Tinh Điệp
Dendro Granum,Dendro Granum,草种子,祥草楊枝,Дендрогранум,Dendro Granum,Hạt Giống Thảo	
Dendro Hypostasis,Dendro Hypostasis,无相之草,無相之草,Дендро гипостазис,Dendro Hypostasis,Thảo Nguyên Bản
Dendro Pile,Dendro Pile,三相众物,三相眾物,Камень с меткой,Dendro Pile,Trụ thảo
Dendro Rock,Dendro Rock,草石块,草石塊,Камень с корнями,Dendro Rock,Đá thảo
Dendrobium,Dendrobium,血斛,血斛,Кровоцвет,Dendrobium,Hoa Lan Máu
Dendroculus,Dendroculus,草神瞳,草神瞳,Дендрокул,Dendroculus,Thảo Thần Đồng
Dendrogranum,Dendrogranum,草种子,草種子,Дендрогранум,Dendrogranum,Hạt Giống Thảo	
DendroSamachurl,DendroSamachurl,草丘丘萨满,草丘丘薩滿,Дендро шамачурл,DendroSamachurl,Phù Thủy Hilichurl Thảo
Quickly prepare an unstudied recipe to the maximum possible.,Quickly prepare an unstudied recipe to the maximum possible.,尽可能快速的将一份未解锁自动烹饪的食物解锁自动烹饪,盡可能快速的將一份未解鎖自動烹飪的食物解鎖自動烹飪,"Мгновенно набрать мастерство на блюде, если на нём всё ещё нет максимального мастерства.",Dengan cepat membuat resep yang belum dipelajari menjadi semaksimal mungkin.,Chuẩn bị những công thức chưa học thành maximum nhanh chóng nhất có thể.
Desert Fox,Desert Fox,沙狐,沙狐,Пустынный лис,Desert Fox,Cáo Sa Mạc
Description,Description,描述,描述,Описание,Deskripsi,Mô tả
Detect new items,Detect new items,检测新物品,檢測新物品,Обнаруживать новые точки,Deteksi item baru,Phát hiện vật phẩm mới
Detect gathered items,Detect gathered items,检测收集到的物品,檢測收集到的物品,Обнаруживать собранные точки,Deteksi item yang diambil,Phát hiện những vật phẩm nhặt được
Gather detecting,Gather detecting,收集物品检测,收集物品檢測,Обнаруживать сборы точек,Deteksi pengambilan,Phát hiện thu thập
"Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","开发：为了满足工作需要，为具有指定名称的命名管道提供服务器。
检查 数据包处理程序 项目，例如示例。","開發：為了滿足工作需要，為具有指定名稱的命名管道提供伺服器。
檢查 封包處理程式 項目，如範例。","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","Dev: untuk bekerja dibutuhkan server dengan pipe yang diberi nama ini.
Cek proyek 'packet-handler' sebagai contoh.","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example."
Main developer and updater:,Main developer and updater:,主要开发者和更新者：,主要開發者和更新者：,Главный разработчик и апдейтер:,Developer utama dan updater:,Dev và người cập nhật chính:
Dialog,Dialog,对话框,對話框,Диалог,Dialog,Hội thoại
Fast Dialog,Fast Dialog,对话加速,對話加速,Быстрые диалоги,Dialog Cepat,Hội thoại nhanh
Auto Talk,Auto Talk,自动对话,自動對話,Автоматический диалог,Dialog Otomatis,Tự động nói chuyện
Diluc,Diluc,迪卢克,迪盧克,Дилюк,Diluc,Diluc
Diluc_RedDeadOfNight,Diluc: Red Dead of Night,迪卢克：殷红终夜,迪盧克：殷紅終夜,Дилюк: Алая ночь,Diluc_RedDeadOfNight,Diluc: Màn Đêm Đỏ Thẫm
Diona,Diona,迪奥娜,迪奧娜,Диона,Diona,Diona
"Marked as Investigate/Search, etc.","Marked as Investigate/Search, etc.",标记为 调查/搜索 的点位等。,標記為 調查/搜索 的點位等。,Отмеченное как Исследовать,"Ditandai sebagai Investigasi/Cari, dll.","Được đánh dấu như Tìm kiếm/nghiên cứu, vân vân."
Teleported,Teleported,已传送的,已傳送的,Телепортирован,Diteleportasi,Đã dịch chuyển
Divda Ray,Divda Ray,迪芙妲鳐,迪芙妲鰩,Дивдинский скат,Divda Ray,Cá đuối
Additional Dll,Additional Dll,添加的Dll,添加的Dll,Дополнительные DLL,Dll Tambahan,Bổ sung Dll
Dodoco Tales,Dodoco Tales,嘟嘟可故事集,嘟嘟可故事集,Истории Додоко,Dodoco Tales,Tuyển tập các câu chuyện về Dodoco
Dog,Dog,狗,狗,Собака,Dog,Chó
Domain,Domain,秘境,秘境,Подземелья,Domain,Bí Cảnh
Doodads,Doodads,杂物,雜物,Опциональное,Doodad,Cuộc hội thoại
Dori,Dori,多莉,多莉,Дори,Dori,Dori
Dragon's Bane,Dragon's Bane,匣里灭辰,匣里滅辰,Гроза драконов,Dragon's Bane,Tai Ương Của Rồng
Dragonspine Spear,Dragonspine Spear,龙脊长枪,龍脊長槍,Копьё Драконьего хребта,Dragonspine Spear,Thương Long Tích
Item Drops,Item Drops,掉落道具,掉落道具,Упавшие вещи,Drop Item,Rơi vật phẩm
Droppers,Droppers,掉落型,掉落型,Пипетка,Droppers,Các Droppers
Dull Blade,Dull Blade,无锋剑,無鋒劍,Тупой меч,Dull Blade,Vô Phong Kiếm
DumbEnemies,DumbEnemies,敌人变傻,敵人變傻,Отключить ИИ агрессивным мобам,DumbEnemies,Vô hiệu hoá kẻ địch
Dump translates,Dump translates,dump翻译文件,dump翻譯文件,Экспорт языкового файла,Dump translasi,Các loại dịch thô
The dungeon where will enter.,The dungeon where will enter.,将进入的秘境。,將進入的秘境。,The dungeon where will enter.,Dungeon mana yang akan dimasuki.,Bí cảnh sẽ vào.
World,World,世界,世界,Мир,Dunia,Thế giới
Dunlins Tooth,Strange Tooth,龙牙,龍牙,Необычный клык,Dunlins Tooth,Dunlins Tooth
Dupe,Dupe,复制,複製,Dupe,Duplikat,Dupe
Duplicate Profile,Duplicate Profile,复制配置文件,覆制配置文件,Клонировать профиль,Duplikat Profil,Nhân bản Profile
Element Durability,Durability,元素耐久性,元素耐久性,Выдержка элемента,Durabilitas,Độ bền
Dusk Bird,Dusk Bird,暝彩鸟,暝彩鳥,Сумеречная птица,Dusk Bird,Chim Hoàng Hôn
Dvalin,Dvalin,风魔龙,風魔龍,Двалин,Dvalin,Dvalin
Eel,Eel,鳗鳗,鰻鰻,Угорь,Eel,Lươn
Cooldown Effects,Cooldown Effects,冷却效果,冷卻效果,Настройки перезарядки,Efek Cooldown,Hiệu ứng thời gian hồi
Attack Effects,Attack Effects,攻击效果,攻擊效果,Настройки атаки,Efek Serangan,Hiệu ứng tấn công
Eight Stone Tablets,Eight Stone Tablets,八块石板,八塊石板,Каменные плиты,Eight Stone Tablets,8 Phiến Đá Cổ Xưa
Export,Export,导出,導出,Экспорт,Ekspor,Xuất
Extreme,Extreme,即死,即死,Экстремальный,Ekstrim,Extreme
Electric,Electric,雷,雷,Electric,Electric,Điện
Electric Conduction,Electric Conduction,电气传导,電氣傳導,Релейный камень,Electric Conduction,Dẫn điện
Electro,Electro,雷,雷,Электро,Electro,Lôi
Electro Abyss Lector,Electro Abyss Lector,深渊咏者·紫电,深淵詠者·紫電,Чтец Бездны: Пурпурная молния,Electro Abyss Lector,Học Sĩ Vực Sâu - Tử Điện
Electro Bathysmal Vishap,Electro Bathysmal Vishap,深海龙蜥·吞雷,深海龍蜥·吞雷,Электро Вишап глубин,Electro Bathysmal Vishap,Rồng Biển Sâu - Thôn Lôi
Electro Crystal,Electro Crystal,电气水晶,電氣水晶,Электро кристалл,Electro Crystal,Pha Lê Điện
Electro Crystal Drop,Electro Crystal Drop,电气水晶掉落,電氣水晶掉落,Электро кристалл,Electro Crystal Drop,Pha Lê điện rơi ra
Electro Crystalfly,Electro Crystalfly,雷晶蝶,雷晶蝶,Кристальная бабочка Электро,Electro Crystalfly,Lôi Tinh Điệp
Electro Hypostasis,Electro Hypostasis,无相之雷,無相之雷,Электро гипостазис,Electro Hypostasis,Lôi Nguyên Bản
Electro Regisvine,Electro Regisvine,掣电树,掣電樹,Электро папоротник,Electro Regisvine,Cây Kích Điện
Electro Seelie,Electro Seelie,雷灵,雷靈,Электро фея,Electro Seelie,Lôi Linh
Electroculus,Electroculus,雷神瞳,雷神瞳,Электрокул,Electroculus,Lôi Thần Đồng
Electrogranum,Electrogranum,雷种子,雷種子,Электрогранум,Electrogranum,Hạt Giống Lôi
Elegy for the End,Elegy for the End,终末嗟叹之诗,終末嗟嘆之詩,Элегия погибели,Elegy for the End,Tiếng Thở Dài Vô Tận
QueuedElement,Queued Element,元素队列模式,元素隊列模式,Элемент в очереди,Elemen Antrian,Nguyên tố được trong hàng chờ
Smart Element,Smart Element,智慧元素,智慧元素,Умный элемент,Elemen Pintar,Nguyên tố thông minh
Monster Applied Element,Monster Applied Element,应用于怪物的元素,應用於怪物的元素,Применяемый элемент на монстре,Elemen Untuk Monster,Quái bị dính nguyên tố
Object Applied Element,Object Applied Element,应用于物体的元素,應用於物體的元素,Применяемый на объект элемент,Elemen Untuk Objek,Đồ vật dính nguyên tố
The default element applied to monsters.,The default element applied to monsters.,作用于怪物身上的默认元素,作用於怪物身上的默認元素,"Элемент, применяемый на монстров.",Elemen yang ditempelkan ke monster.,Nguyên tố mặt định được áp dụng cho quái vật.
The default element applied to objects.,The default element applied to objects.,作用于物体上的默认元素,作用於物體上的默認元素,Элемент по умолчанию будет применён на монстров.,Elemen yang ditempelkan ke objek.,Nguyên tố mặc định được áp dụng cho đồ vật.
Elemental Monument,Elemental Monument,元素方碑,元素方碑,Элементальный монумент,Elemental Monument,Bia Nguyên Tố
Elemental Sight,Elemental Sight,元素视野,元素視野,Чувство стихий,Elemental Sight,Góc Nhìn Nguyên Tố
Elemental sight is kept on even when moving.,Elemental sight is kept on even when moving.,永久启用元素视野。,永久啟用元素視野。,Чувство стихий сохранятеся даже при движении.,Elemental sight akan bertahan walau bergerak.,Góc Nhìn Nguyên Tố vẫn được kích hoạt kể cả khi di chuyển.
Permanent Elemental Sight,Permanent Elemental Sight,永久元素视野,永久元素視野,Вечное чувство стихий,Elemental Sight Permanen,Làm Mãi Mãi Góc Nhìn Nguyên Tố
ElementalReactionsQueue,Elemental reactions queue,元素反应队列,元素反應隊列,Цепь элементальных реакций,ElementalReactionsQueue,Thứ tự ưu tiên Nguyên Tố
ElementalSight,ElementalSight,元素视野,元素視野,Чувство стихий,ElementalSight,Góc Nhìn Nguyên Tố
ElementType,ElementType,元素类型,元素類型,Тип элемента,ElementType,Loại Nguyên Tố
Elite,Elite,精英,精英,Элитный,Elite,Tinh Anh
Emerald Finch,Emerald Finch,碧团雀,碧團雀,Изумрудный зяблик,Emerald Finch,Chim Sẻ Xanh
Emerald Orb,Emerald Orb,翡玉法球,翡玉法球,Изумрудный шар,Emerald Orb,Quả Cầu Ngọc
Emotions,Emotions,情绪,情緒,Эмоции,Emosi,Biểu Cảm
Enable menu unlocker.,Enable menu unlocker.,启用菜单解锁器。,啟用選單解鎖器。,Enable menu unlocker.,Enable menu unlocker.,Bật mở khóa menu.
End of the Line,End of the Line,竭泽,竭澤,Иссушитель,End of the Line,Cuối dòng
Max Burst Energy,Max Burst Energy,满元素爆发能量,滿元素爆發能量,Максимальная энергия,Energi Burst Maks,Max Năng lượng Kĩ Năng Nộ
Engulfing Lightning,Engulfing Lightning,薙草之稻光,薙草之稻光,Сияющая жатва,Engulfing Lightning,Đoạn Thảo Trường Đao
EnhancedMovement,EnhancedMovement,移动增强,移動增強,EnhancedMovement,EnhancedMovement,EnhancedMovement
Enkanomiya,Enkanomiya,渊下宫,淵下宮,Enkanomiya,Enkanomiya,Enkanomiya
Enkanomiya Phase Gate,Enkanomiya Phase Gate,渊下宫相位之门,淵下宮相位之門,Фазовые врата Энканомии,Enkanomiya Phase Gate,Cổng Hai Chiều
Entity Spawner,Entity Spawner,实体生成器,實體生成器,Спавнер Entity,Entitas Spawner,Entity Spawner
Entity Manager,Entity Manager,实体管理器,實體管理器,Управление Entity,Entity Manager,Entity Manager
EntitySpawner,EntitySpawner,实体生成器,實體生成器,EntitySpawner,EntitySpawner,EntitySpawner
Eremite,Eremite,镀金旅团,鍍金旅團,Золочёная бригада,Eremite,Eremite
ESP,ESP,透视,透視,ESP,ESP,ESP
ESP Enabled,ESP Enabled,启动透视,啟動透視,ESP включён,ESP Aktif,Kích hoạt ESP
Eula,Eula,优菈,優菈,Эола,Eula,Eula
Everlasting Moonglow,Everlasting Moonglow,不灭月华,不滅月華,Вечное лунное сияние,Everlasting Moonglow,Vầng Trăng Bất Diệt
Everlight Cell,Everlight Cell,恒光元件,恒光元件,Клетка вечного света,Everlight Cell,Linh Kiện Ánh Sáng
Exc,Exc,排除重要,排除重要,Exc,Exc,Ngoại trừ
Lua Executor,Lua Executor,Lua执行器,Lua執行器,Запуск Lua,Executor Lua,Trình phát hiện Lua
Exp,Exp,冒险阅历,冒險閱歷,Опыт,Exp,Điểm exp
MaxExp,MaxExp,最大经验值,最大經驗值,Максимальный опыт,Exp Maksimum,MaxExp
ExpBar,ExpBar,冒险阅历经验条,冒險閱歷經驗條,Полоска опыта,ExpBar,Thanh exp
ExpBarValue,ExpBarValue,冒险阅历经验条数值,冒險閱歷經驗條數值,Значение полоски опыта,ExpBarValue,Giá trị của thanh exp
Experience,Experience,经历,经历,Опыт,Experience,Kinh nghiệm
Exquisite,Exquisite,精致,精致,Богатый,Exquisite,Cao cấp
Exquisite Chest,Exquisite Chest,精致的宝箱,精致的寶箱,Богатый сундук,Exquisite Chest,Rương Cao Cấp
Eye of Perception,Eye of Perception,昭心,昭心,Око сознания,Eye of Perception,Chiêu Tâm
Eye Of The Storm,Eye Of The Storm,狂风之核,狂風之核,Глаз бури,Eye Of The Storm,Mắt Bão
Eye of the Storm,Eye of the Storm,狂风之核,狂風之核,Глаз бури,Eye of the Storm,Mắt Bão
Fading Twilight,Fading Twilight,落霞,落霞,Гаснущие сумерки,Fading Twilight,Lạc Hà
FakeTime,FakeTime,伪装时间,鎖定時間,Редактор времени,FakeTime,FakeTime
Falcon,Falcon,茶羽鹰,茶羽鷹,Ястреб,Falcon,Chim ưng
FallControl,FallControl,坠落控制,墜落控制,Контроль падения,FallControl,FallControl
Tree Farm,Tree Farm,自动砍树,自動砍樹,Автосбор дерева,Farming Pohon,Farm Cây
Auto Tree Farm,Auto Tree Farm,自动砍树,自動砍樹,Автоматический сбор дерева,Farming Pohon Otomatis,Tự động farm cây
Faruzan,Faruzan,珐露珊,珐露珊,Фарузан,Faruzan,Faruzan
Fatui Agent,Fatui Agent,债务处理人,債務處理人,Агент Фатуи,Fatui Agent,Đặc vụ Fatui
Fatui Cicin Mage,Fatui Cicin Mage,莹术士,瑩術士,Маг цицин,Fatui Cicin Mage,Fatui – Thuật Sĩ Cicin Lôi
Fatui Mirror Maiden,Fatui Mirror Maiden,藏镜仕女,藏鏡仕女,Зеркальная дева фатуи,Fatui Mirror Maiden,Fatui – Thiếu Nữ Kính
Fatui Skirmisher,Fatui Skirmisher,愚人众先遣队,愚人眾先遣隊,Застрельщик фатуи,Fatui Skirmisher,Đội tiên phong Fatui
Favonius Codex,Favonius Codex,西风秘典,西風秘典,Кодекс Фавония,Favonius Codex,Tây Phong Mật Điển
Favonius Greatsword,Favonius Greatsword,西风大剑,西風大劍,Двуручный меч Фавония,Favonius Greatsword,Đại Kiếm Tây Phong
Favonius Lance,Favonius Lance,西风长枪,西風長槍,Копьё Фавония,Favonius Lance,Thương Tây Phong
Favonius Sword,Favonius Sword,西风剑,西風劍,Меч Фавония,Favonius Sword,Tây Phong Kiếm
Favonius Warbow,Favonius Warbow,西风猎弓,西風獵弓,Боевой лук Фавония,Favonius Warbow,Cung Tây Phong
Feasting,Feasting,飨宴之翼,饗宴之翼,Планер великого пиршества,Feasting,Đôi Cánh Dạ Yến
Featured,Featured,收集品,收集品,Избранное,Featured,Featured
Ferrous Shadow,Ferrous Shadow,铁影阔剑,鐵影闊劍,Металлическая тень,Ferrous Shadow,Kiếm Thiết Ảnh
Festering Desire,Festering Desire,腐殖之剑,腐殖之劍,Осквернённое желание,Festering Desire,Răng Nanh Rỉ Sét
Field of View,Field of View,视野范围,視野範圍,Угол обзора,Field of View,Góc nhìn
Current teleport file map: %s(ID=%d),Current teleport file map: %s(ID=%d),当前传送文件地图：%s(ID=%d),當前傳送檔案地圖：%s(ID=%d),Current teleport file map: %s(ID=%d),File map teleportasi saat ini: %s(ID=%d),Bản đồ tệp dịch chuyển hiện tại: %s(ID=%d)
Current teleport file: %s,Current teleport file: %s,当前传送文件: %s,當前傳送檔案: %s,Current teleport file: %s,File teleport terpilih: %s,Tệp dịch chuyển: %s
Fillet Blade,Fillet Blade,吃虎鱼刀,吃虎魚刀,Филейный нож,Fillet Blade,Đao Săn Cá
Filter,Filter,筛选器,篩選器,Фильтр,Filter,Lọc
Filters,Filters,过滤器,過濾器,Фильтры,Filter,Bộ lọc
Pickup Filter,Pickup Filter,拾取过滤,拾取過濾,Фильтр подбираемых вещей,Filter Ambil,Bộ lọc Pickup
New filter,New filter,新增筛选器,新增篩選器,Новый фильтр,Filter baru,Bộ lọc mới
Filter by Radius,Filter by Radius,按半径过滤,按半徑過濾,Фильтр по радиусу,Filter berdasarkan Radius,Lọc theo bán kính
Character Filters,Character Filters,角色过滤器,角色過濾器,Фильтр персонажей,Filter Karakter,Tình trạng gian lận
Rarity Filter,Rarity Filter,品质过滤器,品質過濾器,Фильтр редкости,Filter Kelangkaan,Bộ lọc phẩm chất của vật phẩm
Ascension Materials Filter,Ascension Materials Filter,升级材料过滤器,升級材料過濾器,Фильтр материалов возвышения,Filter Material Penguatan,"Lọc Nguyên Liệu Bồi Dưỡng "
Entity Name Filter,Entity Name Filter,实体名称筛选器,實體名稱篩選器,Фильтр названий Entity,Filter Nama Entitas,Entity Name Filter
Filter Oculus,Filter Oculus,过滤神瞳,過濾神瞳,Фильтр окусулов,Filter Oculus,Bộ lọc Thần Đồng
Search Filters,Search Filters,搜索物品,搜索過濾器,Поисковые фильтры,Filter Pencarian,Tìm kiếm theo loại
Weapon Filters,Weapon Filters,武器过滤器,武器過濾器,Фильтры оружий,Filter Senjata,Bộ lọc vũ khí
Finch,Finch,金团雀,金團雀,Воробей,Finch,Chim Sẻ Xanh
Fir Wood,Fir Wood,杉木,杉木,Пихта,Fir Wood,Gỗ Sam
FirstFlight,FirstFlight,初始之翼,初始之翼,Крылья новичка,FirstFlight,Đôi Cánh Sơ Khai
Fischl,Fischl,菲谢尔,菲謝爾,Фишль,Fischl,Fischl
Fischl_EinImmernachtstraum,Fischl: EinImmernachtstraum,菲谢尔：极夜真梦,菲謝爾：極夜真夢,Фишль: Сон вечной ночи,Fischl: EinImmernachtstraum,Fischl:Giấc Mộng Đêm Khuya
Physical,Physical,无元素,無元素,Физический,Fisikal,Vật lý
Active features,Active features,生效功能,生效功能,Активные особенности,Fitur aktif,Tính năng hoạt động
This option is very risky. Please read the note before using this option.,This option is very risky. Please read the note before using this option.,这个选项风险很大。 使用此选项前请阅读注意事项。,這個選項風險很大。使用此選項前請閱讀注意事項。,This option is very risky. Please read the note before using this option.,Fitur ini sangat beresiko. Mohon baca catatan sebelum menggunakannya.,Lựa chọn này rất là mạo hiểm. Làm hơn hãy đọc note trước khi dùng lựa chọn này.
FL,FL,随机,隨機,FL,FL,FL
Flaming Flower Stamen,Flaming Flower Stamen,烈焰花,烈焰花,Пылающий цветок (тычинка),Flaming Flower Stamen,Nhụy Hoa Liệt Hỏa
Floating Anemo Slime,Floating Anemo Slime,风史莱姆,風史萊姆,Парящий Анемо слайм,Floating Anemo Slime,Slime Phong
Floating Fungus,Floating Fungus,浮游水蕈兽,浮遊水蕈獸,Парящий плесенник,Floating Fungus,Nấm Quỷ Phù Du
Flora chest,Flora chest,地脉之花,地脈之花,Семена Флоры,Flora chest,Hoa địa mạch
Looting delay fluctuation,Looting delay fluctuation,随机拾取延迟,隨機拾取延遲,Диапазон задержки подбора,Fluktuasi delay ambil,Dao động delay Looting
Fluorescent Fungus,Fluorescent Fungus,幽灯蕈,幽燈蕈,Светящийся гриб,Fluorescent Fungus,Nấm U Ám
Flying Serpent,Flying Serpent,飞蛇,飛蛇,Летучий змей,Flying Serpent,Rắn Bay
Force Skip Cutscene,Force Skip Cutscene,强制跳过过场动画,強制跳過過場動畫,Force Skip Cutscene,Force Skip Cutscene,Buộc bỏ qua đoạn cắt cảnh
Forest Regalia,Forest Regalia,森林王器,森林王器,Регалия леса,Forest Regalia,Vương Khí Rừng Sâu
Formalo Ray,Formalo Ray,佛玛洛鳐,佛瑪洛鰩,Фумарольный скат,Formalo Ray,Cá Đuối Formalo
Fov Changer,Fov Changer,视场修改,視場修改,Редактор поля зрения,FOV,Thay đổi FOV
Fowl,Fowl,禽肉,禽肉,Мясо птицы,Fowl,Thịt Gia Cầm
Fox,Fox,狐狸,狐貍,Лиса,Fox,Cáo
FPS,FPS,帧率,幀率,FPS,FPS,FPS
Fragrant Cedar Wood,Fragrant Cedar Wood,垂香木,垂香木,Ароматный кедр,Fragrant Cedar Wood,Gỗ Thùy Hương
Freedom-Sworn,Freedom-Sworn,苍古自由之誓,蒼古自由之誓,Клятва свободы,Freedom-Sworn,Lời Thề Tự Do Cổ Xưa
FreezeEnemies,FreezeEnemies,冻结敌人,凍結敵人,Приостановить движение врагов,FreezeEnemies,Ngưng đọng kẻ địch
Frog,Frog,青蛙,青蛙,Жаба,Frog,Ếch
Frostbearer,Frostbearer,忍冬之果,忍冬之果,Плод вечной мерзлоты,Frostbearer,Trái Chịu Lạnh
Frostbearing Tree,Frostbearing Tree,忍冬之树,忍冬之樹,Дерево вечной мерзлоты,Frostbearing Tree,Cây Chịu Lạnh
Fruit of Fulfillment,Fruit of Fulfillment,盈满之实,盈滿之實,Плод восполнения,Fruit of Fulfillment,Quả Mọng
Fungi,Fungi,蕈兽,蕈獸,Плесенник,Fungi,Nấm Quỷ
Merge selected files,Merge selected files,合并选定文件,合併選定文件,Merge selected files,Gabungkan file yang dipilih,Kết hợp các file đã chọn
Gadget Id,Gadget Id,道具ID,道具ID,Gadget ID,Gadget Id,Gadget Id
Avatar image,Avatar image,头像图片,頭像圖片,Изображение игрока,Gambar avatar,ảnh đại diện
Card image,Card image,名片图片,名片圖片,Именная карта,Gambar kartu,Hình thẻ
GameSpeed,GameSpeed,全局加速,全局加速,Скорость игры,GameSpeed,Tốc độ trò chơi
Account Switcher,Account Switcher,账号切换器,帳號切換器,Переключатель аккаунтов,Ganti Akun,Trình chuyển đổi tài khoản
Change map to apply.,Change map to apply.,更换地图以生效。,更換地圖以生效。,"Смените карту, чтобы применить.",Ganti map untuk menerapkan.,Thay đổi cấp độ cung mệnh
Ganyu,Ganyu,甘雨,甘雨,Гань Юй,Ganyu,Ganyu
Dress,Dress,穿着,穿著,Одежда,Gaun,Trang phục
General Crab,General Crab,将军蟹,將軍蟹,Краб-генерал,General Crab,Cua Tướng Quân
General::RSAPatch,General-RSAPatch,通用 - RSA 补丁,通用 - RSA 補丁,General-RSAPatch,General-RSAPatch,General-RSAPatch
"Barrels, boxes, vases, etc.","Barrels, boxes, vases, etc.",桶、箱、花瓶等。,桶、箱、花瓶等。,"Бочки, ящики, вазы и т.д.","Gentong, kotak, vas, dll.","Thùng, hộp, bình hoa, v.v."
Geo,Geo,岩,岩,Гео,Geo,Nham
Geo Crystalfly,Geo Crystalfly,岩晶蝶,岩晶蝶,Кристальная бабочка Гео,Geo Crystalfly,Nham Tinh Điệp
